Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
1/25/22,HMABKDF3P2,1/24/22,6,A,205.2
1/25/22,HMABKDF3P2,1/24/22,6,A,342
1/23/22,HM3MTBNFEZ,1/22/22,5,B,282.8
1/23/22,HM3MTBNFEZ,1/22/22,5,B,70.7
1/13/22,HMBS9XSB3C,1/12/22,11,A,261.54
1/13/22,HMBS9XSB3C,1/12/22,11,A,1046.16
1/9/22,HMPAHAPYHC,1/8/22,8,B,221.12
1/5/22,HM49K5XE3Q,11/4/21,97,C,4311.55
1/5/22,HM49K5XE3Q,11/4/21,97,C,1077.89
1/4/22,HMQBSPT9NB,1/3/22,4,B,144.4
1/4/22,HMQBSPT9NB,1/3/22,4,B,577.6
1/2/22,HMB8DCWF3A,1/1/22,159,D,4235.85
12/31/21,HM88E23YSA,12/30/21,4,B,136
12/30/21,HMY3ETHZ5F,12/29/21,7,A,1421.04
12/27/21,HMWXXZZP88,12/26/21,3,B,432
12/27/21,HMWXXZZP88,12/26/21,3,B,108
12/25/21,HMCH5APND8,12/24/21,7,D,696.52
12/25/21,HMCH5APND8,12/24/21,7,D,2786.08
12/21/21,HM94438P89,12/20/21,5,A,291.2
12/21/21,HM94438P89,12/20/21,5,A,1164.8
12/17/21,HMPTR5E59F,12/16/21,2,B,320
12/14/21,HMDW4KDC49,12/13/21,2,B,320
12/14/21,HMDW4KDC49,12/13/21,2,B,80
12/12/21,HMP8WXFPY4,12/11/21,7,A,357.6
12/12/21,HMP8WXFPY4,12/11/21,7,A,1430.4
12/7/21,HMKSPHMRHJ,12/6/21,4,B,544
12/7/21,HMKSPHMRHJ,12/6/21,4,B,136
12/6/21,HMHJNPZWWE,12/5/21,14,D,5216
12/6/21,HMHJNPZWWE,12/5/21,14,D,1304
12/5/21,HM49K5XE3Q,11/4/21,97,C,1077.89
12/3/21,HM93KBM32X,12/2/21,7,A,1380
12/3/21,HM93KBM32X,12/2/21,7,A,345
12/3/21,HMZKKJ5FM2,12/2/21,4,B,136
11/29/21,HMRZA3FFJA,11/28/21,4,B,144
11/29/21,HMRZA3FFJA,11/28/21,4,B,576
11/27/21,HMRA5JMZY3,11/26/21,2,B,80
11/26/21,HM2Q8J99RS,11/25/21,6,A,1272.8
11/24/21,HM5H8TXAHB,11/23/21,5,D,2448
11/24/21,HM5H8TXAHB,11/23/21,5,D,612
11/22/21,HMHETZ8X44,11/21/21,2,B,320
11/22/21,HMHETZ8X44,11/21/21,2,B,80
11/11/21,HMXEDJXZFQ,11/10/21,10,A,462
11/11/21,HMSB5TSFXX,11/10/21,13,D,1218.25
11/11/21,HMXEDJXZFQ,11/10/21,10,A,1848
11/11/21,HMSB5TSFXX,11/10/21,13,D,4873
11/5/21,HM49K5XE3Q,11/4/21,97,C,4172.46
11/5/21,HM49K5XE3Q,11/4/21,97,C,1043.11
10/28/21,HMC2BA3495,10/27/21,14,A,607.92
10/28/21,HMC2BA3495,10/27/21,14,A,2431.68
